Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
6063,"23.0536919, 72.6427073","Shree Krishna Tower, Nr.Priya Cinema N.H.No.8",Navjivan Orthopaedic and Maternity Hospital,Private,Hospital,Allopathic,"Shree Krishna Tower, Nr.Priya Cinema N.H.No.8",Gujarat,Ahmedabad,Krishna Nagar,382346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6064,nan,"Nidhi Complex, Bhimjipura, Opposite Mehasana Soiety",Navjyot Eye Hospital Phaco Surgery and Laser Centre,Private,Hospital,Allopathic,"Nidhi Complex, Bhimjipura, Opposite Mehasana Soiety",Gujarat,Ahmedabad,Navavadaj,380013,0,0,0,0,0,0,0,0,079 40232199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6065,"23.0129094, 72.5457716","Navkar Complex, Near Shreyas Railway Crossing Ambawadi",Navkar Hospital,Private,Hospital,Allopathic,"Navkar Complex, Near Shreyas Railway Crossing Ambawadi",Gujarat,Ahmedabad,Ahmedabad,380015,0,0,0,0,0,0,0,0,079 26466714,medrh@yahoo.co.in,0,http://www.navkarhospital.in/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6066,nan,"Opposite Sardar Patel Seva Samaj Hall, Opposite Navrangpura Telephone Exchange",Sushrusha Navneet Memorial Hospital,Private,Hospital,Allopathic,"Opposite Sardar Patel Seva Samaj Hall, Opposite Navrangpura Telephone Exchange",Gujarat,Ahmedabad,Navrangpura,380009,0,0,0,0,0,0,0,0,079 26405021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6067,"23.0392262, 72.6383065","Trimurti Complex, Thakkarbapa Nagar Road, Approach India Colony",Netra Raksha Hospital,Private,Hospital,Allopathic,"Trimurti Complex, Thakkarbapa Nagar Road, Approach India Colony",Gujarat,Ahmedabad,Bapunagar,380024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6068,"23.062087, 72.5305813","APM Shopping Mall, Opposite Sun-N-Step Club, Satadhar Char Rasta, Sola Road",Netram Care Eye Hospital,Private,Hospital,Allopathic,"APM Shopping Mall, Opposite Sun-N-Step Club, Satadhar Char Rasta, Sola Road",Gujarat,Ahmedabad,Ahmedabad,380061,0,0,0,0,0,0,0,0,0,Parthmp@Gmail.Com,0,http://www.netramcare.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6069,"23.061941, 72.5518066","54, Shraddhadip Complex, Ankur Road, Near 132 Ring Road",Nidhi Eye Hospital,Private,Hospital,Allopathic,"54, Shraddhadip Complex, Ankur Road, Near 132 Ring Road",Gujarat,Ahmedabad,Naranpura,380013,0,0,0,0,0,0,0,0,079 27522042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6070,"23.0385165, 72.5585751","108, Swastik Society",Nova Pulse Ivf Clinic Ahmedabad Pvt.Ltd.,Private,Hospital,Allopathic,"108, Swastik Society",Gujarat,Ahmedabad,Navrangpura,380009,0,0,0,0,0,0,0,0,0,0,0,http://www.novaivifertility.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6071,nan,"1st Floor, Block-c, Pruthvi Complex, Station Road, Bavla",Om Orthopaedic and Maternity Hospital,Private,Hospital,Allopathic,"1st Floor, Block-c, Pruthvi Complex, Station Road, Bavla",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6072,"23.0497418, 72.531753","4, L.K Society, Gurukul Road, B/H Sunset Raw House",P.N.Desai Eye Hospital,Private,Hospital,Allopathic,"4, L.K Society, Gurukul Road, B/H Sunset Raw House",Gujarat,Ahmedabad,Memnagar,380052,0,0,0,0,0,0,0,0,079 27481611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6073,nan,"Koth, Dholka",P.H.C.KOTH,Public/ Government,Primary Health Centre,Allopathic,"Koth, Dholka",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6074,nan,"B-Block, 3rd Floor, Suryarani Complex, Akhbarnagar circle, 132 feet Ring Road",Palak Eye Clinic,Private,Clinic,Allopathic,"B-Block, 3rd Floor, Suryarani Complex, Akhbarnagar circle, 132 feet Ring Road",Gujarat,Ahmedabad,Navavadaj,380013,0,0,0,0,0,0,0,0,0,palakeyeclinic@gmail.com,0,http://www.palakeyeclinic.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6075,nan,"B-Block, 3rd Floor, Suryarani Complex, Akhbarnagar circle, 132 feet Ring Road",Palak Dental Clinic,Private,Clinic,Allopathic,"B-Block, 3rd Floor, Suryarani Complex, Akhbarnagar circle, 132 feet Ring Road",Gujarat,Ahmedabad,Navavadaj,380013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6076,"23.0437233, 72.5501624","Dynamic House, Nr.Memnagar Fire Station, Vijay Char Rasta",Panchal Urology Centre,Private,"Hospital, Clinic",Allopathic,"Dynamic House, Nr.Memnagar Fire Station, Vijay Char Rasta",Gujarat,Ahmedabad,Navrangpura,380009,0,0,0,0,0,0,0,"09099079700, 09099079701, 09099079702",079 40099039,info@panchalurologycentre.com,0,http://www.panchalurologycentre.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6077,nan,"2nd Floor, Sahayog Plaza, Opposite Government Engineering College","Param Maternity, Gynaec, And Surgical Hospital",Private,Hospital,Allopathic,"2nd Floor, Sahayog Plaza, Opposite Government Engineering College",Gujarat,Ahmedabad,Motera,380005,0,0,0,0,0,0,0,0,0,shelat  uu@yahoo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6078,"22.8323857, 72.363256","Station Road, Opp Bavla Nagar Palika Bazar",Paras Surgical Hospital,Private,Hospital,Allopathic,"Station Road, Opp Bavla Nagar Palika Bazar",Gujarat,Ahmedabad,0,382220,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6079,nan,"FF 1, Shivganga Complex, Station Road, Bavla",Parekhs Hospital,Private,Hospital,Allopathic,"FF 1, Shivganga Complex, Station Road, Bavla",Gujarat,Ahmedabad,0,382220,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6080,"23.0958571, 72.5958301","Canara Bank, Under Over Bridge",Parimal Hospital,Private,Hospital,Allopathic,"Canara Bank, Under Over Bridge",Gujarat,Ahmedabad,Maninagar,380008,0,0,0,0,0,0,0,0,079 25462819,parimalhospital@yahoo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6081,"23.0837834, 72.5889122","Ramji Mandir, Ramnagar, Amba Chowk",Parth Hospital,Private,Hospital,Allopathic,"Ramji Mandir, Ramnagar, Amba Chowk",Gujarat,Ahmedabad,Sabarmati,380005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6082,"23.0542201, 72.6429051","Shri Krishna Tower, Near Cine Pride Talkies, National Highway - 8 Narol-Naroda Road, Krishna Nagar",Parth Maternity and Medical Nursing Home,Private,Nursing Home,Allopathic,"Shri Krishna Tower, Near Cine Pride Talkies, National Highway - 8 Narol-Naroda Road, Krishna Nagar",Gujarat,Ahmedabad,Krishna Nagar,382346,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6083,"23.0477933, 72.5712056","103, Ashvarath Shopping Centre, Usmanpura Ashram Road",Patel E.N.T Hospital,Private,Hospital,Allopathic,"103, Ashvarath Shopping Centre, Usmanpura Ashram Road",Gujarat,Ahmedabad,Usmanpura,380013,0,0,0,0,0,0,0,0,0,drspp2003@yahoo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6084,nan,"PHC-jetalpur, Village -Jetalpur ta-daskroi",PHC Jetalpur,Public/ Government,Primary Health Centre,Allopathic,"PHC-jetalpur, Village -Jetalpur ta-daskroi",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6085,nan,"Kuha, ta.Dakroi",PHC Kuha,Public/ Government,Primary Health Centre,Allopathic,"Kuha, ta.Dakroi",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6086,"22.5244945, 72.4149129","Vataman, Dhokla",PHC Vataman,Public/ Government,Primary Health Centre,Allopathic,"Vataman, Dhokla",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6087,"23.0047117, 72.5374903","Polio Foundation Sewa Sansthan, Pavansut Society, Nr.Rajvadu,\nB/h.Sun Flower School, Jivrajpark",Polio Foundation,Private,Hospital,Allopathic,"Polio Foundation Sewa Sansthan, Pavansut Society, Nr.Rajvadu,\nB/h.Sun Flower School, Jivrajpark",Gujarat,Ahmedabad,0,380051,0,0,0,0,0,0,0,0,0,info@poliofoundation.org,0,http://www.poliofoundation.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6088,"23.0562136, 72.6207709","33, Parnkunj Society",Pooja Hospital,Private,Hospital,Allopathic,"33, Parnkunj Society",Gujarat,Ahmedabad,Kankaria,380008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6089,nan,"1st Floor, Vaibhav Complex",Poojan Children Hospital and Neonetal Centre,Private,Hospital,Allopathic,"1st Floor, Vaibhav Complex",Gujarat,Ahmedabad,Nirnayanagar,382481,0,0,0,0,0,0,0,0,079 27620333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6090,"23.0477513, 72.5626641","1st Floor, Saptarshi Complex, Near Sardar Patel Bavla, Naranpura",Pruthvi Medical Nursing Home and Heart Centre,Private,Nursing Home,Allopathic,"1st Floor, Saptarshi Complex, Near Sardar Patel Bavla, Naranpura",Gujarat,Ahmedabad,0,380014,0,0,0,0,0,0,0,0,0,pateljitendra66@gmail.com,0,http://pruthvihospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6091,nan,"302 Vitthal Mall, Nr Chandkheda Eng.College, Chandkheda",Pushpa Children Hospital and Critical Care Centre,Private,Hospital,Allopathic,"302 Vitthal Mall, Nr Chandkheda Eng.College, Chandkheda",Gujarat,Ahmedabad,Chandkheda,382424,0,0,0,0,0,0,0,0,0,info@pushpahospital.com,0,http://pushpachildrenhospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6092,"23.1029936, 72.5697277","33-34, D-Cabin, Shantiniketan Shopping Complex, Sabarmati",Pushpam Hospital,Private,Hospital,Allopathic,"33-34, D-Cabin, Shantiniketan Shopping Complex, Sabarmati",Gujarat,Ahmedabad,Sabarmati,380019,0,0,0,0,0,0,0,0,079 27505586,pushpamgynee@yahoo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6093,"23.0519939, 72.5640978","Dhananjibhai Complex, B Block, Near Naranpura Railway Crossing",Raj Ent Hospital,Private,Hospital,Allopathic,"Dhananjibhai Complex, B Block, Near Naranpura Railway Crossing",Gujarat,Ahmedabad,Naranpura,380013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6094,"23.0455787, 72.5418225","3 Floor, Rudra Arcade B Block,\nHelmet Cross Road, Near Manav Mandir, Drive In Road",Rajvee Ortho - Spine and Child Neuro Hospital,Private,Hospital,Allopathic,"3 Floor, Rudra Arcade B Block,\nHelmet Cross Road, Near Manav Mandir, Drive In Road",Gujarat,Ahmedabad,Memnagar,380052,0,0,0,0,0,0,0,0,0,rajveehospital@yahoo.co.in,0,http://www.rajveehospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6095,nan,"Nakshatra, 2nd Floor, Ganesh Gali, Maninagar Cross Roads",Ratandeep Surgical Hospital and Endoscopy Clinic,Private,Hospital,Allopathic,"Nakshatra, 2nd Floor, Ganesh Gali, Maninagar Cross Roads",Gujarat,Ahmedabad,Ahmedabad,380008,0,0,0,0,0,0,0,0,079 55255678,0,0,http://www.ratandeep.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6096,"23.0228555, 72.5261005","Near Anupam Shopping Centre, Opposite Mahabaleshwar Society, Jodhpur Cross Road",Rathi Hospital,Private,Hospital,Allopathic,"Near Anupam Shopping Centre, Opposite Mahabaleshwar Society, Jodhpur Cross Road",Gujarat,Ahmedabad,Satellite,380015,0,0,0,0,0,0,0,9824015618,079 26924812,dr.rathhospital@rediffmail.com,admin@rathihospital.in,http://www.rathihospital.in/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6097,"23.0539073, 72.5964371","Swastil Complex, Opposite Rajasthan Hospital",Reshambhai Fertility Hospital,Private,Hospital,Allopathic,"Swastil Complex, Opposite Rajasthan Hospital",Gujarat,Ahmedabad,Shahibauex,380004,0,0,0,0,0,0,0,0,079 22865596,info@reshambaiivf.org,0,http://www.reshambaiivf.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6098,"23.0521189, 72.5608045","F.F and 2nd Floor, Shashwat Complex, Naranpura Croos Road",Rhythm Cardio Pulmonory Care Centre and Medical Hospital,Private,Hospital,Allopathic,"F.F and 2nd Floor, Shashwat Complex, Naranpura Croos Road",Gujarat,Ahmedabad,Ahmedabad,380013,0,0,0,0,0,0,0,8000793033,0,rhythm  hospital@yahoo.com,0,http://www.rhythmhospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6099,"22.3641035, 71.9781169","Near Jeevan Sandhya, Bhavnagar Highway, Dhandhuka",RMS Hospital Trauma General Hospital,Private,Hospital,Allopathic,"Near Jeevan Sandhya, Bhavnagar Highway, Dhandhuka",Gujarat,Ahmedabad,0,382460,0,0,0,0,0,0,0,0,02713 222870,rms@rmshospital.org,0,www.rmshospital.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6100,"23.0318187, 72.5260091","29/30, Mansi Complex.B, Premchand Nagar Road, Vastrapur",Rosemaarry Womens Hospital,Private,Hospital,Allopathic,"29/30, Mansi Complex.B, Premchand Nagar Road, Vastrapur",Gujarat,Ahmedabad,Vastrapur,380015,0,0,0,0,0,0,0,0,0,0,0,http://rosemaarryhospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6101,"23.0626344, 72.643695","Near S.T.Workshop Naroda Road, Patiya, Naroda",Rudraksh Hospital,Private,Hospital,Allopathic,"Near S.T.Workshop Naroda Road, Patiya, Naroda",Gujarat,Ahmedabad,Patiya,382346,0,0,0,0,0,0,0,0,079  22841919,rudraksh@yahoo.co.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6102,"23.0021551, 72.5467211","3rd Floor, Pratham Mangal Complex, Nr.Vasna Bus Stop, Vasana",Rugveda  Practur and Orthopaedic Hospital,Private,Hospital,Allopathic,"3rd Floor, Pratham Mangal Complex, Nr.Vasna Bus Stop, Vasana",Gujarat,Ahmedabad,Vasna,380007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6103,"22.9994812, 72.6197255","Near Vosawada, Opposite Sport Complex, Khokhra",Rukshmani Government Hospital,Public/ Government,Hospital,Allopathic,"Near Vosawada, Opposite Sport Complex, Khokhra",Gujarat,Ahmedabad,0,380008,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6104,"23.0125983, 72.5178203","218- Sahajanand Palace, Opposite Rahul Tower, Anand Nagar Road, Satellite",Rushabh Medi-Surge Hospital Pvt Ltd,Private,Hospital,Allopathic,"218- Sahajanand Palace, Opposite Rahul Tower, Anand Nagar Road, Satellite",Gujarat,Ahmedabad,Ahmedabad,380051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6105,"23.0362408, 72.630339","Vallabhnagar Flats, 3/25, Bapunagar, Char Rasta, Bapunagar",Sagar Orthopaedic Hospital,Private,Hospital,Allopathic,"Vallabhnagar Flats, 3/25, Bapunagar, Char Rasta, Bapunagar",Gujarat,Ahmedabad,Ahmedabad,380024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6106,nan,"4th Floor, Dolly Complex, Stadium Cross-roads, Navrangpura",Sahajanand Eye Care Hospital,Private,Hospital,Allopathic,"4th Floor, Dolly Complex, Stadium Cross-roads, Navrangpura",Gujarat,Ahmedabad,Naranpura,380009,0,0,0,0,0,0,0,0,0,info@crystalvisioneye.com,0,http://www.crystalvisioneye.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6107,"22.9870335, 72.4732058","Nr.Shantipura Ring Road Circle, Sarkhej-Sanand Highway, Sarkhej",Sahyog General Hospital,Private,Hospital,Allopathic,"Nr.Shantipura Ring Road Circle, Sarkhej-Sanand Highway, Sarkhej",Gujarat,Ahmedabad,0,380014,0,0,0,0,0,0,0,0,0,bakar  429@yahoo.co.in,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6108,nan,"Jay ambe Complex, Opposite Nagar Palika, Station Road, Bavla",Sai Womens Hospital,Private,Hospital,Allopathic,"Jay ambe Complex, Opposite Nagar Palika, Station Road, Bavla",Gujarat,Ahmedabad,0,382220,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6109,"23.0494743, 72.5243905",Opposite Doordarshan Tower Drive In Road,Sal Hospital and Medical Institute,Private,Hospital,Allopathic,Opposite Doordarshan Tower Drive In Road,Gujarat,Ahmedabad,Thaltej,380054,0,0,9925195656,0,0,0,0,079 66115750,079  6611 5620,info@salhospital.com,0,http://salhospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6110,"23.1053006, 72.5254109","Near Khamidana Darwaja, Ahmedabad Bhavanagar highway, Barwala",Samarpan General Hospital,Private,Hospital,Allopathic,"Near Khamidana Darwaja, Ahmedabad Bhavanagar highway, Barwala",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6111,"23.0827039, 72.5469075","2nd Floor, Silver Star Complex, Chandlodia-Gota Road",Samata Hospital Pvt.Ltd,Private,Hospital,Allopathic,"2nd Floor, Silver Star Complex, Chandlodia-Gota Road",Gujarat,Ahmedabad,Chandlodia,382481,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6112,"23.0405319, 72.5581983","3rd Floor, Near Sopan Flats, On Stadium Circle to Commerce College Six Roads",Samved Orthopaedic Hospital,Private,Hospital,Allopathic,"3rd Floor, Near Sopan Flats, On Stadium Circle to Commerce College Six Roads",Gujarat,Ahmedabad,Navrangpura,380009,0,0,8980595959,0,0,0,0,0,079 26562232,samvedortho@yahoo.com,0,http://samvedortho.in/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6113,nan,"301, 3rd Floor, Nilkanth Plaza, Above Honest Restaurant, Bhattha Cross Roads, Paldi",Sanidhya Maternity and Eye Hospital,Private,Hospital,Allopathic,"301, 3rd Floor, Nilkanth Plaza, Above Honest Restaurant, Bhattha Cross Roads, Paldi",Gujarat,Ahmedabad,Paldi,380007,0,0,0,0,0,0,0,0,079 26609712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6114,"23.0595717, 72.5356453","5, Agraval Tower ( Back Side), Bhuyangdev Char Rasta, Sola Road, Ghatlodia",Sanjeevani Hospital,Private,Hospital,Allopathic,"5, Agraval Tower ( Back Side), Bhuyangdev Char Rasta, Sola Road, Ghatlodia",Gujarat,Ahmedabad,Ahmedabad,380061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6115,"23.0837698, 72.5903244","Near Kalimata Temple, Ramnagar Sabermati",Sanjivan Heart and Medical Hospital,Private,Hospital,Allopathic,"Near Kalimata Temple, Ramnagar Sabermati",Gujarat,Ahmedabad,Sabarmati,380005,0,0,0,0,0,0,0,0,079 27508631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6116,nan,"3rd Floor, Soham Complex, Near Navrang, Six Road, Navrangpura",Sanjivani Eye Hospital and Phaco Centre,Private,Hospital,Allopathic,"3rd Floor, Soham Complex, Near Navrang, Six Road, Navrangpura",Gujarat,Ahmedabad,Ahmedabad,380009,0,0,0,0,0,0,0,0,0,sanjivanieyehospital@gmail.com,0,www.sanjivanieyehospital.co.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6117,"23.0578196, 72.5701541","Sanjeevani Complex, Opposite Mehsana Society, Nava Vadaj Road",Sanjivani Heart and Medical Hospital,Private,Hospital,Allopathic,"Sanjeevani Complex, Opposite Mehsana Society, Nava Vadaj Road",Gujarat,Ahmedabad,Ahmedabad,380013,0,0,0,0,0,0,0,0,0,sanjivani93@gmail.com,dr  nimesh  patel@yahoo.co.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6118,"22.99546, 72.3820779","Viramgam Bazar, Viramgam",Sanjivani Hospital,Private,Hospital,Allopathic,"Viramgam Bazar, Viramgam",Gujarat,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6119,"23.0134142, 72.5304092","301-304, 3rd Floor, Jyoti Complex,\nBeside Parekh Hospital,\nShyamal Cross Road, 132 Ft Ring Road, Satellite",Sarvamangal Women Hospital,Private,Hospital,Allopathic,"301-304, 3rd Floor, Jyoti Complex,\nBeside Parekh Hospital,\nShyamal Cross Road, 132 Ft Ring Road, Satellite",Gujarat,Ahmedabad,0,380015,0,0,0,0,0,0,0,"09426427768, 09898682649",0,info@sarvamangalivf.com,0,http://sarvamangalivf.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6120,"23.0474249, 72.5505593","403-404, B-Block Rudra Arcade, Besides May Flower Hospital, Helmet Char Rasta, Memnagar",Jaydeep Hospital,Private,Hospital,Allopathic,"403-404, B-Block Rudra Arcade, Besides May Flower Hospital, Helmet Char Rasta, Memnagar",Gujarat,Ahmedabad,Memnagar,380052,0,0,0,0,0,0,0,0,0,0,0,http://www.paediatricsurgeonahmedabad.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,24,0
6121,"23.0371183, 72.5290078","A/405-406, Himalaya Arcade, Opposite Vastrapur Lake, Vastrapur",Aashwi E.N.T.Hospital,Private,Hospital,Allopathic,"A/405-406, Himalaya Arcade, Opposite Vastrapur Lake, Vastrapur",Gujarat,Ahmedabad,0,380015,0,0,0,0,0,0,0,0,0,0,0,http://www.aashwient.com/,0,0,0,0,0,Dr.Mihir Mehta,0,dr  mihir@yahoo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6122,"23.0099407, 72.5545666","Opposite Annapurna Hall, New Vikas Gruh road, Paldi",Bodyline Hospitals,Private,Hospital,Allopathic,"Opposite Annapurna Hall, New Vikas Gruh road, Paldi",Gujarat,Ahmedabad,0,380007,0,0,0,0,0,0,0,0,079 26640558,contact@bodylinehospitals.com,0,http://www.bodylinehospitals.com/contact.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
6123,"23.0315422, 72.4717694","17-18, Abhinandan Complex, Opposite Inductotherm Factory, Bopal",Bopal Multispeciality Hospital,Private,Hospital,Allopathic,"17-18, Abhinandan Complex, Opposite Inductotherm Factory, Bopal",Gujarat,Ahmedabad,Bopal,380058,0,0,0,0,0,0,0,0,"02717 235300, 02717 237237",0,0,http://www.rsby.gov.in/Districtwise.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
